Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Impressions,Impressions click-through rate (%)
Total,,,,26293,151.823,3,73.808,23370,4.66
NPXOTOj6vI4,Como celebran en México el mundial?,"Jun 25, 2026",6,6639,10.7145,0,5.801,65,1.54
ewRoHybRD7Q,Mexico 2-0 Ecuador,"Jul 1, 2026",18,2297,4.725,1,1.145,161,2.48
RzyETHcIaAk,GANÓ MÉXICO 2-0!!! Pita el claxon o algo,"Jul 1, 2026",15,1978,5.4718,1,1.252,113,7.08
MC-FOagjock,"La serenata más grande de México, ¿qué tal les pareció el concierto de Alejandro Fernández?","Jun 26, 2026",66,1901,14.0524,1,3.374,2651,3.7
9pCU28Xt8z8,Guadalajara en días nublados tiene un no sé qué que me encanta.,"Jul 20, 2026",21,1709,2.648,1,0.594,51,0
EDd_6VhwWdc,Amigo reacciona al gol de México vs Chequia en el mundial,"Jun 25, 2026",28,1629,3.468,1,1.062,1197,3.09
W5v6b2NA_SQ,Habrá cerveza suficiente para el 5to partido?,"Jun 26, 2026",22,1532,4.2089,1,1.301,100,1
PZGUsB1a4p4,Nadie me preparo para esto,"Jul 3, 2026",13,1357,2.4799,0,0.809,60,1.67
MacVzLdNVew,Si recojan la basura en los eventos gratis,"Jun 26, 2026",19,1306,2.9299,0,0.882,77,1.3
9y0Sa0nX5hs,Mi excusa es porque se gastan los tenis #running,"Jul 10, 2026",15,1178,2.6101,0,0.662,125,0
5AGOvAYYUvk,Arriba Argentina vs Inglaterra,"Jul 15, 2026",28,1041,2.1005,0,0.631,38,2.63
UC1n73uj-0g,Kit de mi carrera andares 2026,"Jul 11, 2026",163,402,0.5859,0,0.071,127,2.36
1Dt3T2btMr0,¿Cuánto cuestan unas papas en el fan fest de Guadalajara? #futbol,"Jun 22, 2026",27,290,0.9842,0,0.309,438,4.57
rcAIZIbWQRQ,Solo les faltó terminal para vender,"Jun 23, 2026",22,267,0.8387,0,0.225,45,2.22
uaKSwhEhGsk,Colombianos en Guadalajara,"Jun 22, 2026",47,214,0.8359,0,0.477,308,4.22
4eK81pJ63NM,Yo quería escuchar la de se compra fierro viejo,"Jun 22, 2026",31,204,0.7669,0,0.412,27,0
7BlVwhPBtLA,Luisito Comunica en San Gabriel Jalisco 😱,"Apr 13, 2023",11,176,0.3556,0,0.215,938,5.12
tPRO06-XAec,"SAN Gabriel Jalisco, 2026","Jan 7, 2026",15,172,0.4349,0,0.298,704,7.1
ELnTwOczClA,"Fiestas San gabriel, Jalisco 2026","Feb 11, 2026",2349,126,13.7711,0,7.876,909,8.36
cKH1KQLo4x8,"San Gabriel Jalisco, Fiestas 2025.","Sep 2, 2025",1985,120,11.8733,0,11.567,900,9
EEkWxi0ek6U,¿Cualquier mouse funciona en una iPad?,"Sep 22, 2023",9,87,0.1114,0,0.07,216,3.7
GAbCH0tZD0E,Ceti Colomos ¿Cómo es el examen de admisión?,"Feb 12, 2021",471,83,3.7007,1,1.922,509,10.02
JSLBW-L9As8,"Así reaccionaron todos al ver este jersey de Charros, ¿qué opinas de este nuevo jersey? Es una joya","Apr 16, 2026",10,65,0.9581,0,0.017,53,30.19
Gs1pzvuTaSY,"San Gabriel Jalisco, Festival de la Faustina 2025","Dec 18, 2025",854,64,4.9942,0,4.166,522,7.66
HWi-HFVqihY,¿Qué hacer en el mundial en Guadalajara Jalisco?,"Jun 24, 2026",70,64,0.2559,0,0.05,256,3.52
OsjKG2gQP60,"San Gabriel Jalisco, Faustina 2025","May 20, 2025",27,63,0.2306,0,0.118,407,1.23
ABhjv3ShouU,"Santo Coyote, Restaurante Mexicano Guadalajara Jalisco | Absa García","Oct 12, 2017",1718,49,5.0593,0,1.626,572,6.12
6q4NfX3ZPeY,"San Gabriel, Jalisco, Fiestas 2024","Apr 28, 2024",1487,45,3.1481,0,1.85,382,7.07
7HvNmG7RbH4,La mejor birria de Guadalajara,"Jul 27, 2024",6,42,0.0624,0,0.028,47,8.51
I_vMb-ViXlw,San Gabriel Jalisco ¿Que Tiene De Especial?,"Jun 6, 2019",277,42,1.6967,0,1.637,563,5.68
jg7O5fUDs_I,¿Vale La Pena Estudiar Una Ingenieria En El CETI? |  Absa Garcia,"Mar 21, 2019",900,41,3.601,0,1.799,241,11.62
qt4Phj0_qvM,Oasis cantando wonderwall en CDMX 2025,"Sep 17, 2025",17,39,0.0535,0,0.02,225,0.89
f5Xmk5YP9cc,A celebrar la victoria de México en la minerva,"Jun 24, 2026",13,36,0.1018,0,0.077,87,5.75
tU3vkT9I6ag,"Chon Rodriguez | Historiador de San Gabriel, Jalisco.","Jan 31, 2024",2896,34,2.6948,0,1.097,473,4.86
fYKELBkfNGI,Mi Primera Semana De Clases (Ceti Colomos) || Absa Garcia,"Sep 5, 2019",862,28,5.5873,1,0.242,205,13.17
