"Start Time","End Time","Text","Layer ID"
"00;00;00;00","00;00;01;09","Es la primera vez que me caso","1"
"00;00;01;09","00;00;03;05","y estoy desarrollando todo un","1"
"00;00;03;20","00;00;04;24","unas integraciones","1"
"00;00;04;24","00;00;07;07","tal cual para que puedas llevarel tema de tu boda.","1"
"00;00;07;08","00;00;08;15","Realmente el Ãºnico temaes que no","1"
"00;00;08;15","00;00;11;01","sÃ© cÃ³mo monetizar esto que hice.","1"
"00;00;11;18","00;00;13;27","ConectÃ© Canva con Cloud","1"
"00;00;13;27","00;00;16;07","para desarrollar la landingpage de la invitaciÃ³n.","1"
"00;00;16;10","00;00;17;22","En esa invitaciÃ³nobviamente pusimos","1"
"00;00;17;22","00;00;20;02","los links de Amazon de Liverpooly agreguÃ© un modal.","1"
"00;00;20;04","00;00;22;04","Cuando tÃº puedes confirmartu asistencia o no,","1"
"00;00;22;06","00;00;23;11","y dependiendo de tu cantidad","1"
"00;00;23;11","00;00;26;15","cantidad de boletos es menos,pero nunca mÃ¡s.","1"
"00;00;26;17","00;00;27;17","MÃ¡s boletos para darte.","1"
"00;00;27;17","00;00;29;06","O sea, obviamente no,porque estÃ¡ restringido","1"
"00;00;29;06","00;00;30;28","a una validaciÃ³n,una base de datos,","1"
"00;00;31;03","00;00;32;19","pero para sacar esa base dedatos,","1"
"00;00;32;20","00;00;35;02","pues lo Ãºnico que hicimoscomo a mano se podrÃ­a decir","1"
"00;00;35;02","00;00;36;17","sin utilizarinteligencia artificial,","1"
"00;00;36;19","00;00;38;10","fue hace un excel donde pusimos","1"
"00;00;38;10","00;00;40;11","todos los contactos,cantidad de boletos,","1"
"00;00;40;13","00;00;42;12","nÃºmero de telÃ©fonoy nombre de la persona","1"
"00;00;42;29","00;00;45;05","y eso lo puse en su base.","1"
"00;00;45;06","00;00;47;00","DecidÃ­ utilizar un busporque no valÃ­a","1"
"00;00;47;00","00;00;48;10","la pena desarrollar un backend","1"
"00;00;48;21","00;00;50;04","y ya despuÃ©s de eso","1"
"00;00;50;16","00;00;52;24","desarrollÃ©unas automatizaciones en Python","1"
"00;00;52;25","00;00;54;09","con play para que mande","1"
"00;00;54;09","00;00;56;12","de forma automÃ¡ticalos mensajes de WhatsApp","1"
"00;00;56;19","00;00;58;26","sin la necesidad de tener que yoestar enviando un mensaje","1"
"00;00;58;26","00;01;00;25","por mensaje, porque quÃ© hueva","1"
"00;01;00;25","00;01;02;02","hacer eso.","1"
"00;01;02;14","00;01;04;19","Y ya despuÃ©s de eso","1"
"00;01;04;19","00;01;06;02","hice que una gente fuera","1"
"00;01;06;02","00;01;08;09","a WhatsApp, leyeradudas y mensajes que hubiera","1"
"00;01;08;15","00;01;10;09","y el tuviera como un estilo","1"
"00;01;10;09","00;01;12;12","a skill de planner","1"
"00;01;12;12","00;01;14;26","para contestar a cada personay ya de esta forma","1"
"00;01;14;26","00;01;16;06","yo no tener que estarmuy preocupando de","1"
"00;01;16;06","00;01;18;07","viendo que estÃ¡n respondiendoy que no y","1"
"00;01;18;28","00;01;19;19","Y aparte","1"
"00;01;19;19","00;01;22;02","tengo un agente mÃ­o propioque desarrollÃ© en whatsapp","1"
"00;01;22;02","00;01;24;04","que tiene un Â¿escudopara que vaya a la base de datos","1"
"00;01;24;04","00;01;26;16","y le diga oye, cuÃ¡ntas personasconfirmaron cuÃ¡ntas no?","1"
"00;01;26;16","00;01;28;18","Y si ama Taco Tacoes un amor de Dios,","1"
"00;01;28;18","00;01;29;25","La neta muy chido.","1"
"00;01;30;00","00;01;30;17","Y ya luego Taco.","1"
"00;01;30;17","00;01;32;02","Â¿CuÃ¡ntas personasconfirmaron el dÃ­a de hoy?","1"
"00;01;32;02","00;01;32;20","Tantas.","1"
"00;01;32;20","00;01;34;02","Â¿Y Taco dejaron notas","1"
"00;01;34;02","00;01;36;21","si dejar un mensajeasÃ­ de declinaron no?","1"
"00;01;36;22","00;01;39;04","Y ya viendo como esa informaciÃ³ndesde la gente de WhatsApp","1"
"00;01;39;04","00;01;42;07","utilizando simplementemi suscripciÃ³n de cloud se va.","1"
"00;01;42;23","00;01;43;13","Muy interesante.","1"
"00;01;43;13","00;01;45;15","Sin embargo, nosÃ© cÃ³mo esto se pueda monetizar","1"
"00;01;45;15","00;01;47;23","o cÃ³mo se puede vendera temas de planners","1"
"00;01;47;27","00;01;49;02","o si alguien estÃ¡ interesado","1"
"00;01;49;02","00;01;51;04","realmente no tendrÃ¡ temas tan.","1"
"00;01;51;04","00;01;52;05","Compartir el cÃ³digo de la gente","1"
"00;01;52;05","00;01;53;11","y todas las cosasque estaba haciendo.","1"
"00;01;53;11","00;01;55;04","O sea, realmenteha sido un proyecto","1"
"00;01;55;05","00;01;56;15","que me ha divertido mucho","1"
"00;01;56;16","00;01;57;22","y que lo puse un poco","1"
"00;01;57;24","00;01;58;19","en un dos por tres","1"
"00;01;58;19","00;02;01;06","y a quemarlo porque no hubo nada","1"
"00;02;01;06","00;02;03;22","ni ni intermediariosde las tiendas de la Apple,","1"
"00;02;03;22","00;02;04;10","la Play Store.","1"
"00;02;04;10","00;02;06;19","Para que pueda salirsimplemente subirlo.","1"
"00;02;06;20","00;02;08;05","UtilicÃ© Vercel y GitHub,","1"
"00;02;08;05","00;02;10;04","asÃ­ que es lo divertido.","1"
"00;02;10;07","00;02;11;23","Si queremos detalles, dÃ©jenmeen comentarios","1"
"00;02;11;23","00;02;13;16","para saber que les intereseen lo que pueda","1"
"00;02;13;16","00;02;15;00","profundizar para darles mÃ¡s","1"
"00;02;15;00","00;02;16;12","contenido respecto a eso.","1"
