"Start Time","End Time","Text","Layer ID"
"00;00;00;00","00;00;01;22","Consideran que implementar","1"
"00;00;02;18","00;00;04;27","una arquitectura en un proyecto","1"
"00;00;04;27","00;00;05;27","como un Project","1"
"00;00;05;27","00;00;06;23","es sobre ingenierÃ­a,","1"
"00;00;06;23","00;00;07;29","como Clean Architecture.","1"
"00;00;08;04","00;00;09;07","Yo digo que sÃ­ porque es","1"
"00;00;09;07","00;00;10;16","demasiados archivos carpetas","1"
"00;00;10;16","00;00;11;08","para un proyecto","1"
"00;00;11;08","00;00;11;19","que apenas","1"
"00;00;11;19","00;00;12;19","vas a validar, como un","1"
"00;00;12;19","00;00;13;04","cree que","1"
"00;00;13;04","00;00;14;01","creen que el mejor momento","1"
"00;00;14;01","00;00;14;14","serÃ¡ despuÃ©s","1"
"00;00;14;14","00;00;15;20","de que algo suceda.","1"
"00;00;15;20","00;00;16;09","Si vas a continuar","1"
"00;00;16;09","00;00;17;18","con ese proyecto, hacer todo","1"
"00;00;17;19","00;00;18;26","estos temas de refactorizaciÃ³n","1"
"00;00;18;26","00;00;19;26","y cambiar la arquitectura","1"
"00;00;19;26","00;00;20;21","o desde un principio","1"
"00;00;20;21","00;00;21;05","dejarlo asÃ­,","1"
"00;00;21;05","00;00;22;11","tal cual como estÃ¡.","1"
"00;00;22;18","00;00;23;24","Â¿QuÃ© opinan ustedes?","1"
"00;00;23;24","00;00;24;14","A ver,","1"
"00;00;24;14","00;00;25;01","yo creo","1"
"00;00;25;01","00;00;26;03","que es buena ingenierÃ­a.","1"
"00;00;26;03","00;00;27;07","Es demasiado tiempo","1"
"00;00;27;07","00;00;28;16","para ver si tu idea realmente","1"
"00;00;28;16","00;00;29;27","va a servir o no.","1"
