"Start Time","End Time","Text","Layer ID"
"00;00;00;03","00;00;01;05","Â¿Eres de los DEPs","1"
"00;00;01;05","00;00;02;05","o de los seniors","1"
"00;00;02;05","00;00;03;12","que todavÃ­a le cÃ³digo?","1"
"00;00;03;17","00;00;04;25","Yo estaba viendo","1"
"00;00;04;25","00;00;06;06","una publicaciÃ³n respecto a eso","1"
"00;00;06;06","00;00;07;12","en Twitter ex","1"
"00;00;07;13","00;00;09;14","ahora en la cual todos hablaban","1"
"00;00;09;14","00;00;11;07","que revisar cÃ³digo y leerlo hoy","1"
"00;00;11;08","00;00;12;12","es como que muy aburrido,","1"
"00;00;12;12","00;00;13;18","muy obsoleto.","1"
"00;00;13;19","00;00;15;05","Lo que yo sÃ­ podrÃ­a decir","1"
"00;00;15;05","00;00;16;11","es que a mÃ­ sÃ­","1"
"00;00;16;11","00;00;17;24","me gusta leerlo y aparte","1"
"00;00;17;24","00;00;18;20","me gusta agregarle","1"
"00;00;18;20","00;00;20;05","toda la cantidad de testing,","1"
"00;00;20;11","00;00;22;18","escenarios play right","1"
"00;00;22;18","00;00;23;25","en tu end de test","1"
"00;00;23;25","00;00;24;07","para saber","1"
"00;00;24;07","00;00;25;06","que todo estÃ¡ funcionando,","1"
"00;00;25;06","00;00;25;26","porque trabajo en","1"
"00;00;25;26","00;00;26;15","un equipo grande","1"
"00;00;26;15","00;00;27;20","y este equipo grande.","1"
"00;00;27;20","00;00;28;16","Luego resulta que","1"
"00;00;28;16","00;00;30;03","otros ingenieros de otras Ã¡reas","1"
"00;00;30;04","00;00;31;19","ya le movieron y tronaron la","1"
"00;00;31;28","00;00;32;26","que habÃ­a trabajado.","1"
"00;00;32;26","00;00;34;02","Y cuando rompen los test","1"
"00;00;34;02","00;00;34;21","me doy cuenta","1"
"00;00;34;21","00;00;35;19","de que movieron algo","1"
"00;00;35;19","00;00;36;23","y que las validaciones ya no","1"
"00;00;36;23","00;00;37;29","estÃ¡n pasando y asÃ­ que","1"
"00;00;37;29","00;00;38;27","es una forma en la que yo","1"
"00;00;38;27","00;00;39;20","me doy cuenta.","1"
"00;00;39;20","00;00;40;17","Sin.","1"
"00;00;40;17","00;00;41;09","Â¿Crees que hoy en dÃ­a","1"
"00;00;41;09","00;00;42;02","vale la pena leerlo?","1"
"00;00;42;02","00;00;43;28","AsÃ­ que ver todos los cambios","1"
"00;00;43;28","00;00;44;13","que estÃ¡ haciendo","1"
"00;00;44;13","00;00;45;27","o simplemente documentarlos","1"
"00;00;45;28","00;00;46;28","o aplicar","1"
"00;00;46;28","00;00;48;01","en la parte del testing.","1"
"00;00;48;01","00;00;48;25","Desde mi experiencia,","1"
"00;00;48;25","00;00;49;16","dirÃ­a que el testing","1"
"00;00;49;16","00;00;50;22","es demasiado Ãºtil,","1"
"00;00;51;04","00;00;52;23","pero no sÃ© realmente cuÃ¡nto","1"
"00;00;53;06","00;00;54;02","o cuÃ¡nto tiempo","1"
"00;00;54;02","00;00;55;05","inviertas o cuÃ¡ntos tokens,","1"
"00;00;55;05","00;00;55;24","porque al final del","1"
"00;00;55;24","00;00;56;26","dÃ­a desarrolla los testing.","1"
"00;00;56;26","00;00;57;21","Todos estos archivos","1"
"00;00;57;21","00;00;59;09","requieren tokens","1"
"00;00;59;10","00;01;00;02","que puedes utilizar","1"
"00;01;00;02","00;01;01;08","para mÃ¡s cosas,","1"
"00;01;01;19","00;01;02;09","asÃ­ que","1"
"00;01;02;09","00;01;04;02","te leo en comentarios.","1"
