"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"August 10","El terrible Juan de Chapultepec, me parece un lugar genial porque me puedo quedar muchas horas y no me corren. Aparte su Cafe si es Cafe el coldbrew que tienen en el lugar es una joya es mi favorito de todo Guadalajara, porque aparte te dan un frasco de Vidrio como con 300 ml y un vaso de hielo y yo pedí un agua mineral para acompañarlo ya que por el momento no estoy tomando agua tónica y me supo similar aunque se extraña el azúcar. El Wi-Fi es bueno tienen muchas tomas de corriente para para poner a cargar tu laptop, si es necesario, recomiéndame más cafeterías para ir a vibecodear en Guadalajara.","https://www.tiktok.com/@absa.dev/video/7639036252309818642","May 12","228","6","8","7865"
"August 10","Que significa GM? Good morning! #gm #crypto #web3 #programadores #desarrollador","https://www.tiktok.com/@absa.dev/video/7217873202041703685","April 3","759","14","45","139473"
"August 10","Ya me llegó mi sudadera por ser creador de contenido ","https://www.tiktok.com/@absa.dev/video/7671007408365473042","August 6","26","4","1","610"
"August 10","¿Curso de paga o camino gratis para aprender Swift? Mi veredicto 👇 #swift #iosdev #aprenderaprogramar #techtok","https://www.tiktok.com/@absa.dev/video/7668015290155863304","August 5","31","1","3","447"
"August 10","La daily no es un reporte, son 30 segundos ⏱️ y casi todos los latinos la alargamos 😅 ep. 3 #SobrevivirLaChambaGringa #inglesparadevs #dailystandup #techtok","https://www.tiktok.com/@absa.dev/video/7668010762450799879","August 3","30","4","0","348"
"August 10","Llevo 9 años haciendo contenido y no he llegado ni a los 10 mil. La verdad de por qué no es la que me venía contando","https://www.tiktok.com/@absa.dev/video/7668017689855593746","August 7","24","3","0","345"
"August 10","¿El iPad ya sirve para programar? Alguien sabe cómo se hace eso? Porque yo no, ayuda #ipadpro #ipadproart #ipadprocreate #ipadprom2 #programming #programacion #softwareengineer ","https://www.tiktok.com/@absa.dev/video/7414550207506976005","September 14","244","5","4","10072"
"August 10","¿Buscas una cafetería en Guadalajara donde sí te dejen trabajar tranquilo? Aquí va mi lugar favorito para hacer home office. Y aparte no te corren por pedir poquitas cosas durante tu estancia 👀 #recomendaciones #cafeteria #cafeteriaguadalajara #cafereview #typescriptdeveloper #programador #softwareengineers #desarrolladordesoftware ","https://www.tiktok.com/@absa.dev/video/7526068951126756626","July 11","162","13","28","6601"
"August 10","Pedir ayuda no te hace ver incompetente. Pedirla MAL, sí 👇 fórmula de 3 partes ep. 2 #SobrevivirLaChambaGringa #inglesparadevs #trabajoremoto #techtok","https://www.tiktok.com/@absa.dev/video/7665813034811608327","July 31","31","0","0","565"
"August 10","Amo Flutter... y aun así voy a aprender Swift este año 🍎💻 Flutter me resuelve el 90% de lo que hago, pero para subir de nivel como dev móvil necesito entender qué pasa de verdad en lo nativo. No es traicionar a Flutter, es dejar de esconderme detrás de él 👀 Si tú ya sabes Swift, hazme un paro: ¿Qué es lo PRIMERO que me dirías antes de empezar? Te leo en los comentarios 👇 #swift #flutter #iosdeveloper #programacion #softwareengineer","https://www.tiktok.com/@absa.dev/video/7664989306812960007","July 23","57","9","1","809"
"August 10","Le ponemos demasiada salsa a las juntas en inglés... y eso te puede costar el respeto 🇲🇽🇺🇸 En Latinoamérica damos mil rodeos antes de ir al punto. Con gringos, eso se interpreta como que no sabes de qué hablas. Aquí te cuento las 3 cosas que tuve que cambiar para comunicarme mejor trabajando con equipos de USA. Devs que chambean en inglés — ¿cuál fue su choque cultural más fuerte? Cuéntenme sus historias en los comentarios 👇👀 #trabajoremoto #softwareengineer #inglesparaprogramadores #choquecultural #programacion   ","https://www.tiktok.com/@absa.dev/video/7664990922689563912","July 25","44","3","0","774"
"August 10","MacBook NEO para firmar apps para iOS usando flutter, me parece una gran idea, antes yo cotizaría el MacBook mini en la tienda para la educación o usando google para ver mas ofertas antes de comprarla como primera opción #macbookneo #programador #flutter ","https://www.tiktok.com/@absa.dev/video/7621263850461089032","March 25","57","2","1","2573"
"August 10","3 frases que te hacen ver inseguro en inglés (yo las decía TODAS) 🇺🇸 ep. 1 de la serie #SobrevivirLaChambaGringa #inglesparadevs #trabajoremoto #techtok","https://www.tiktok.com/@absa.dev/video/7665810615616802055","July 29","38","2","0","553"
"August 10","Me encanta para mandar correos, llevar seguimiento de contaduría, tomar llamadas, planificar, gestión de proyectos, para leer, crear contenido, para anotar ideas, y sobre todo con un teclado es mi gadget favorito que pronto me gustaría renovar por una versión más nueva de iPad, NO SÉ PUEDE PROGRAMAR, pero te puede ayudar a gestionar un negocio #ipad #programador #freelancer ","https://www.tiktok.com/@absa.dev/video/7580627235007171858","December 6","172","1","1","5904"
"August 10","Se vienen videos en flutter de: clean architecture, ya tengo una serie para grabar de 4 videos, sin embargo que tema quieres que toque con profundidad de esta arquitectura?","https://www.tiktok.com/@absa.dev/video/7489585027617950981","April 4","17","3","0","970"
