"Date","Hour","Active followers"
"August 3","0","829"
"August 3","1","543"
"August 3","2","351"
"August 3","3","248"
"August 3","4","302"
"August 3","5","478"
"August 3","6","695"
"August 3","7","938"
"August 3","8","984"
"August 3","9","1045"
"August 3","10","1076"
"August 3","11","1167"
"August 3","12","1183"
"August 3","13","1173"
"August 3","14","1156"
"August 3","15","1196"
"August 3","16","1226"
"August 3","17","1254"
"August 3","18","1333"
"August 3","19","1413"
"August 3","20","1428"
"August 3","21","1418"
"August 3","22","1387"
"August 3","23","1138"
"August 4","0","787"
"August 4","1","521"
"August 4","2","323"
"August 4","3","250"
"August 4","4","300"
"August 4","5","457"
"August 4","6","724"
"August 4","7","973"
"August 4","8","1071"
"August 4","9","1044"
"August 4","10","1092"
"August 4","11","1153"
"August 4","12","1188"
"August 4","13","1140"
"August 4","14","1148"
"August 4","15","1150"
"August 4","16","1145"
"August 4","17","1176"
"August 4","18","1264"
"August 4","19","1341"
"August 4","20","1384"
"August 4","21","1428"
"August 4","22","1354"
"August 4","23","1141"
"August 5","0","813"
"August 5","1","486"
"August 5","2","310"
"August 5","3","260"
"August 5","4","298"
"August 5","5","483"
"August 5","6","742"
"August 5","7","974"
"August 5","8","1049"
"August 5","9","1082"
"August 5","10","1105"
"August 5","11","1171"
"August 5","12","1170"
"August 5","13","1175"
"August 5","14","1151"
"August 5","15","1163"
"August 5","16","1169"
"August 5","17","1283"
"August 5","18","1265"
"August 5","19","1315"
"August 5","20","1358"
"August 5","21","1401"
"August 5","22","1337"
"August 5","23","1132"
"August 6","0","827"
"August 6","1","546"
"August 6","2","322"
"August 6","3","263"
"August 6","4","319"
"August 6","5","474"
"August 6","6","703"
"August 6","7","938"
"August 6","8","1053"
"August 6","9","1100"
"August 6","10","1099"
"August 6","11","1171"
"August 6","12","1178"
"August 6","13","1181"
"August 6","14","1162"
"August 6","15","1204"
"August 6","16","1179"
"August 6","17","1205"
"August 6","18","1273"
"August 6","19","1320"
"August 6","20","1398"
"August 6","21","1393"
"August 6","22","1339"
"August 6","23","1148"
"August 7","0","806"
"August 7","1","531"
"August 7","2","333"
"August 7","3","245"
"August 7","4","286"
"August 7","5","473"
"August 7","6","678"
"August 7","7","963"
"August 7","8","1048"
"August 7","9","1100"
"August 7","10","1124"
"August 7","11","1169"
"August 7","12","1222"
"August 7","13","1184"
"August 7","14","1180"
"August 7","15","1165"
"August 7","16","1178"
"August 7","17","1255"
"August 7","18","1280"
"August 7","19","1298"
"August 7","20","1300"
"August 7","21","1320"
"August 7","22","1298"
"August 7","23","1122"
"August 8","0","839"
"August 8","1","595"
"August 8","2","383"
"August 8","3","277"
"August 8","4","294"
"August 8","5","385"
"August 8","6","609"
"August 8","7","865"
"August 8","8","1041"
"August 8","9","1132"
"August 8","10","1136"
"August 8","11","1136"
"August 8","12","1224"
"August 8","13","1221"
"August 8","14","1180"
"August 8","15","1193"
"August 8","16","1149"
"August 8","17","1204"
"August 8","18","0"
"August 8","19","0"
"August 8","20","0"
"August 8","21","0"
"August 8","22","0"
"August 8","23","0"
