"Date","Video Views","Profile Views","Likes","Comments","Shares"
"June 10","529","6","22","0","5"
"June 11","1134","4","23","-1","7"
"June 12","499","4","13","0","4"
"June 13","390","5","13","0","8"
"June 14","425","2","22","-2","2"
"June 15","442","2","10","0","1"
"June 16","383","1","7","0","4"
"June 17","364","1","13","0","2"
"June 18","472","3","22","0","7"
"June 19","460","2","12","0","3"
"June 20","417","0","11","-1","1"
"June 21","388","4","5","0","3"
"June 22","403","2","10","0","2"
"June 23","447","5","13","0","3"
"June 24","343","3","5","0","0"
"June 25","345","0","9","0","1"
"June 26","340","3","6","-2","0"
"June 27","328","4","1","0","2"
"June 28","310","3","6","0","0"
"June 29","324","3","4","0","0"
"June 30","318","3","2","0","1"
"July 1","318","0","7","0","0"
"July 2","335","0","3","0","0"
"July 3","287","0","3","0","0"
"July 4","277","2","5","0","1"
"July 5","242","0","2","0","1"
"July 6","311","2","2","0","4"
"July 7","366","3","4","0","2"
"July 8","334","2","8","0","0"
"July 9","381","1","5","0","0"
"July 10","1005","13","48","2","2"
"July 11","988","14","20","0","0"
"July 12","292","4","6","0","1"
"July 13","322","5","7","0","0"
"July 14","526","2","22","0","1"
"July 15","1151","7","31","0","0"
"July 16","784","6","16","0","0"
"July 17","319","5","4","0","0"
"July 18","342","2","1","4","0"
"July 19","247","0","4","0","1"
"July 20","277","1","3","0","0"
"July 21","727","3","32","0","0"
"July 22","567","7","14","2","0"
"July 23","812","5","38","0","0"
"July 24","545","5","23","0","0"
"July 25","812","7","34","8","2"
"July 26","506","9","15","3","1"
"July 27","801","2","29","3","0"
"July 28","427","3","9","3","0"
"July 29","789","13","34","2","1"
"July 30","332","6","10","2","0"
"July 31","745","6","33","0","0"
"August 1","256","4","4","0","0"
"August 2","779","10","15","0","1"
"August 3","3284","26","89","3","0"
"August 4","364","5","10","0","0"
"August 5","531","3","31","0","4"
"August 6","564","6","18","1","0"
"August 7","1002","17","34","4","0"
"August 8","341","5","12","2","0"
