"Date","Total Viewers","New Viewers","Returning Viewers"
"July 13","274","206","68"
"July 14","442","295","147"
"July 15","976","621","355"
"July 16","650","389","261"
"July 17","263","204","59"
"July 18","276","216","60"
"July 19","203","163","40"
"July 20","219","166","53"
"July 21","621","352","269"
"July 22","434","261","173"
"July 23","646","348","298"
"July 24","425","207","218"
"July 25","656","395","261"
"July 26","411","195","216"
"July 27","662","340","322"
"July 28","321","199","122"
"July 29","644","373","271"
"July 30","255","166","89"
"July 31","644","355","289"
"August 1","195","133","62"
"August 2","699","584","115"
"August 3","2881","2434","447"
"August 4","297","202","95"
"August 5","437","250","187"
"August 6","457","205","252"
"August 7","778","393","385"
"August 8","undefined","0","0"
"August 9","undefined","0","0"
