Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,26765,3.86
KqK1rMaZxQQ,Flutter vs React Native 2026: La Verdad sobre Rendimiento y Salarios,"Feb 9, 2026",808,3100,6.58
1Qa2kI5kCww,Cuánto cobrar por tu side project (nos equivocamos con el precio),"Aug 31, 2026",855,2582,2.09
BOE5Y8Atlgk,Flutter vs React Native 2025 ¿Qué conviene aprender primero?,"Sep 4, 2025",24,1549,2.32
TvVYuIRpwK0,Mac mini m6 lo nuevo de apple,"Aug 25, 2026",15,816,0.86
eoBlidE6ezA,005. Errores al aprender Flutter en 2026,"Sep 29, 2025",575,767,7.82
zYvvLj-4iN4,Flutter + Claude: Mi Flujo de Trabajo para Entregar Apps en Tiempo Récord,"Apr 20, 2026",1195,721,10.12
iwiCe1zs94Y,"Open claw 2, novedades en español","Sep 1, 2026",67,676,6.36
z1WaM4GP_Q8,065 - ¿Kotlin Multiplatform le gana a Flutter en 2025? KMP vs Flutter,"Apr 14, 2025",531,597,7.87
2VKFwAvmi-s,Que MacBook comprar en 2026? ¿Para programar?,"Oct 19, 2025",74,578,1.9
aocYkLSuksI,En Flutter y firebase fue como vendí mis primeras apps como #freelancer #programador,"Jul 24, 2024",59,505,3.96
PoCU6L0nYwU,¿Qué proyectos poner en tu portafolio de programador para destacar? | Conseguir Chamba Dev,"Aug 28, 2026",65,433,1.39
8_xi3xKGxlQ,Lo más difícil de aprender en Flutter,"Aug 25, 2022",53,410,3.41
kRH_sx_X2oQ,"Por fin nos están pagando: Fitexe, el software para gimnasios y CrossFit","Aug 11, 2026",117,377,2.12
EieaVf-eFVQ,Claude Code vs Copilot: ¿Cuál es la mejor AI para programar?,"May 4, 2026",1335,255,7.45
EV3vF-gGZi4,Flutter los fines pero typescript paga el cafe,"Aug 19, 2026",81,236,3.39
bDovcerN0Qs,"Una semana con Swift: Hello World, Xcode, y lo que ya odio | Camino a AI Engineer #2","Aug 9, 2026",88,217,2.76
Bv0950kq_gI,Funciones en Dart || Curso de Flutter en español,"Jan 31, 2023",479,200,3
gSrA0laFLh4,¿Qué debe tener un CV de programador para que un reclutador lo lea? | Conseguir Chamba Dev #1,"Aug 22, 2026",73,192,2.08
WwDL5ucyY0M,No sabia que maestria elegir y me espere 4 años para saber que era de AI,"Aug 13, 2026",95,188,3.72
JInJ-yKqCzI,Acepté un trabajo de programador que no quería,"Sep 7, 2026",115,183,8.74
gG6UB0eRhJo,Apps favoritas de una fisioterapeuta,"Apr 5, 2024",37,174,4.6
_ItCaCo-0Ko,¿Cómo trabajar en meta de AI engineer?,"Jul 21, 2025",1054,154,2.6
