Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,117266,1217.0773,193,596.038,349362,3.83
KqK1rMaZxQQ,Flutter vs React Native 2026: La Verdad sobre Rendimiento y Salarios,"Feb 9, 2026",808,3782,254.2152,51,103.608,42174,5.62
Zx9RMJHz7iE,Vale la pena la MacBook neo para flutter? #macbookneo,"Mar 25, 2026",122,2670,14.6953,1,1.387,3122,5.03
aocYkLSuksI,En Flutter y firebase fue como vendí mis primeras apps como #freelancer #programador,"Jul 24, 2024",59,2173,17.393,4,1.182,17717,3.65
d7nfEYy78AE,Simplemente no se me da,"Mar 7, 2026",9,2138,2.6933,0,1.02,205,1.46
MX62CYV-gGM,"iPhone 18 fold, se filtra el posible diseño","Apr 9, 2026",55,1989,7.7433,1,0.983,541,3.51
BOE5Y8Atlgk,Flutter vs React Native 2025 ¿Qué conviene aprender primero?,"Sep 4, 2025",24,1948,8.8569,0,0.852,14342,2.99
6uqaNPF8hO0,Copilot nunca abandona,"Jan 21, 2026",15,1905,1.8931,0,0.315,102,4.9
-XDfjjob1b4,Ya se les olvidó centrar un botón…,"Mar 17, 2026",9,1845,1.9453,3,0.654,350,1.14
gCFU9WnSM18,Vibecodeo a ultron #claudecode,"Apr 9, 2026",9,1806,2.2974,0,0.82,252,3.17
zYvvLj-4iN4,Flutter + Claude: Mi Flujo de Trabajo para Entregar Apps en Tiempo Récord,"Apr 20, 2026",1195,1798,107.3471,32,51.491,15323,6.9
Jb9KG2eSvyk,cómo destruí mi mejor historia,"May 2, 2026",25,1784,3.3693,0,0.519,261,1.92
51_WoGTeZEI,Pero quería ir a la charlotada,"Jan 20, 2026",8,1686,1.3078,0,0.219,514,1.36
7x6tRlHDEw4,"Es que no tengo pizzas para el empleado del mes, pero se lo llevo Claude code el día de hoy","Mar 24, 2026",6,1675,1.625,0,0.44,235,2.55
BlwoSuP2m3I,YouTube no premia el esfuerzo,"May 3, 2026",29,1540,2.462,1,0.563,348,2.59
0mUe5rW1GPo,Debes pensar en todos los edge cases posibles,"Apr 29, 2026",7,1500,1.2532,0,0.324,154,0
Ipnsq21B-sU,Nunca lo entenderé 🥲 como ser viral,"Jan 15, 2026",8,1449,1.2198,2,0.293,96,2.08
Hl8S4CENebU,Otro proyecto más que procrastino,"Mar 23, 2026",61,1441,3.6086,4,0.854,225,2.22
cp80U53R7IA,Yo cuando empiece el mundial,"May 13, 2026",9,1439,1.7925,0,0.567,125,1.6
rGA-dsFX4ng,Soy malo creando contenido,"Apr 13, 2026",66,1416,3.6788,12,0.688,430,1.63
yMheefUYnDU,Sígueme para más contenido,"Jun 4, 2026",10,1408,1.7472,1,0.698,185,3.24
8_xi3xKGxlQ,Lo más difícil de aprender en Flutter,"Aug 25, 2022",53,1384,8.9738,1,0.757,13985,2.98
kmQLQIs2rAQ,El costo oculto de ser estudiante   #claudecode,"Apr 25, 2026",34,1368,3.7369,1,0.782,432,1.16
xmFvnFtoZGg,Gemini salvó mi código en Python!,"May 6, 2026",59,1363,5.5966,3,0.71,1209,1.08
rZuFUXQpk8Q,Cómo usar Claude Code (como un arquitecto de Software)  #claudecode,"Apr 11, 2026",127,1285,8.0763,10,0.885,3474,0.6
Z_ratrtUL90,Nueva MacBook NEO,"Mar 6, 2026",100,1243,5.7376,3,0.853,368,3.26
WkSbGPxIaXQ,Advertidos están! #humor #desarrollomovil,"Feb 8, 2026",12,1173,1.4878,1,0.372,318,0.63
o9VXX49hNHY,Asi uso mi iPad Pro #programacion,"Jan 21, 2026",53,1172,2.8027,3,0.509,171,1.17
2VKFwAvmi-s,Que MacBook comprar en 2026? ¿Para programar?,"Oct 19, 2025",74,1161,10.598,0,1.017,8838,3.51
Aj5HCySOikk,"Play store, Que complicada eres","Jan 3, 2026",59,1159,1.1517,1,0.119,433,2.77
mR_FpW-8zRQ,La productividad no es codigo,"May 10, 2026",73,1136,3.6247,1,0.535,349,0.86
Sg9kMopxjAM,Volví a una oficina #flutterapp,"Mar 12, 2026",23,1126,2.1201,0,0.701,240,3.33
Qj3KM8IiWfg,Flutter en Español ¿Cómo Hacer un Login? Parte 1,"Feb 17, 2021",1686,1068,40.9655,6,25.481,2230,7.98
