"Start Time","End Time","Text","Layer ID"
"00:00:00:19","00:00:05:15","Me cambiÃ© de trabajoen marzo y subÃ­ de sueldo.","1"
"00:00:05:16","00:00:09:02","Prestaciones, mejoras como FIS.","1"
"00:00:09:07","00:00:12:07","Y creo que estoy igual queantes.","1"
"00:00:12:19","00:00:15:14","La verdad, yo creo que siempreuno de los problemas que tenemos","1"
"00:00:15:14","00:00:19:19","como programadoreses estarnos contaminando.","1"
"00:00:19:20","00:00:22:19","De todos los sueldosque podemos encontrar","1"
"00:00:22:19","00:00:25:27","en Estados Unidos, de los amigosque tenemos, que trabajan","1"
"00:00:25:27","00:00:29:13","en otra empresay ganan el doble, el triple","1"
"00:00:29:22","00:00:33:27","o simplemente 15Â $mÃ¡s que nosotros,","1"
"00:00:34:03","00:00:34:20","pero vemos","1"
"00:00:34:20","00:00:37:29","que llevan una vida de lujosque a veces nosotros mismos","1"
"00:00:37:29","00:00:40:03","no sabemossi realmente son lujos","1"
"00:00:40:03","00:00:41:16","o son deudas que vemos,","1"
"00:00:41:16","00:00:43:18","que sabemos que tienenpero no sabemos.","1"
"00:00:43:18","00:00:48:24","Y a veces creemos que el simplehecho de cambiarte de trabajo.","1"
"00:00:48:29","00:00:52:16","Y obtener una nueva remuneraciÃ³neconÃ³mica","1"
"00:00:52:22","00:00:55:23","puede solucionardemasiadas cosas.","1"
"00:00:55:28","00:00:57:18","Y el dÃ­a de hoy","1"
"00:00:57:18","00:00:58:18","platiquemos un poco de esto","1"
"00:00:58:18","00:01:00:16","que estÃ¡ pasandocon todo el tema de","1"
"00:01:00:16","00:01:03:12","a dÃ³nde chingadosse nos estÃ¡ yendo nuestro dinero","1"
"00:01:03:12","00:01:05:21","o nuestro sueldocomo programadores,","1"
"00:01:05:21","00:01:08:26","porque creo que ya noes suficiente o hay suficiente.","1"
"00:01:08:26","00:01:12:09","Â¿Pero en quÃ© punto estamosperdiendo cada uno de nosotros?","1"
"00:01:12:21","00:01:14:21","Y ahora, por ejemplo,yo no soy financiero,","1"
"00:01:14:21","00:01:17:22","pero me he dado cuentade muchas cosas que","1"
"00:01:17:23","00:01:22:16","en esta parte hay que tratarde ser un poco mÃ¡s conscientes","1"
"00:01:23:03","00:01:26:10","y sobre todo tratar de aguantaro estar prevenidos,","1"
"00:01:26:17","00:01:28:04","porque nunca sabemoscuando nos pueda llegar","1"
"00:01:28:04","00:01:32:01","un layout y nos agarresin un peso en la cartera.","1"
"00:01:32:01","00:01:34:18","Para los que no me conocensoy GarcÃ­a,","1"
"00:01:34:18","00:01:36:20","soy ingenieroen desarrollo de software.","1"
"00:01:36:20","00:01:37:25","Actualmente estoy pagando ya","1"
"00:01:37:25","00:01:40:04","mi tÃ­tulo de la maestrÃ­aen Inteligencia artificial.","1"
"00:01:40:04","00:01:43:00","Si gustarÃ­as con esote lo agradecerÃ­a demasiado.","1"
"00:01:43:00","00:01:44:16","Sale caro.","1"
"00:01:44:16","00:01:46:03","Actualmente me estoy cansando","1"
"00:01:46:03","00:01:48:24","y se vienen demasiados gastosencima.","1"
"00:01:48:24","00:01:50:06","Mi luna de miel soÃ±ada.","1"
"00:01:50:06","00:01:51:10","Decirme a JapÃ³n","1"
"00:01:51:10","00:01:53:13","al comer sushiporque ya me va a salir","1"
"00:01:53:13","00:01:55:01","mÃ¡s barato que en MÃ©xico,como esos memes","1"
"00:01:55:01","00:01:56:13","que estÃ¡s viendo de repente.","1"
"00:01:56:13","00:01:59:27","Y pues bueno, soy ahoritagrandes rasgos y actualmente","1"
"00:02:00:03","00:02:02:18","soy freelance y creador decontenido","1"
"00:02:02:18","00:02:05:17","creado de contenidopequeÃ±o todavÃ­a,","1"
"00:02:05:19","00:02:06:14","pero con tu ayuda","1"
"00:02:06:14","00:02:09:03","podremos llegar prontoa los 10.000 seguidores","1"
"00:02:09:03","00:02:10:05","aquÃ­ en el canal.","1"
"00:02:10:05","00:02:14:05","A ver, creo que siempre cuandote digo es un aumento de sueldo","1"
"00:02:14:19","00:02:16:20","y como programadores","1"
"00:02:16:20","00:02:20:10","no nos fijemos solamente cuandoestamos ganando, sino fijÃ©monos","1"
"00:02:20:13","00:02:22:00","en quÃ© estamos gastando.","1"
"00:02:22:00","00:02:24:02","Hay muchas cosas que a vecesa mÃ­ sÃ­ me pesa un poco.","1"
"00:02:24:02","00:02:26:00","Es gastar comida en la oficina.","1"
"00:02:26:00","00:02:28:11","Â¿No han visto cuÃ¡ntocuesta comer en la oficina?","1"
"00:02:28:11","00:02:30:08","A veces en el sentido deque no digo","1"
"00:02:30:08","00:02:31:20","como que tal cual en la oficina,","1"
"00:02:31:20","00:02:34:03","sino como el simple hechode ir a comer","1"
"00:02:34:03","00:02:37:22","a un restaurante de un desayunoy una comida, porque","1"
"00:02:38:08","00:02:39:14","a lo mejor te fuistesin desayunar","1"
"00:02:39:14","00:02:41:21","y vas a pedir de comer algomÃ¡s en el trabajo mÃ¡s tarde,","1"
"00:02:41:21","00:02:45:27","porque en llegar a las 08:00y ahorita las cuatro","1"
"00:02:45:27","00:02:47:22","y a lo mejorno vas a ver desayunado.","1"
"00:02:47:22","00:02:49:23","Yo soy de esos cabronesque les da hambre todo el dÃ­a.","1"
"00:02:49:23","00:02:53:01","Y a ver si sacamos cuentasy nÃºmeros de forma frÃ­a","1"
