Episode name,Publish date,Plays & downloads
023. DETOX de AI,6/8/2026,12
"022. Maestría en IA, Síndrome del Impostor y la técnica Pomodoro para Devs",5/25/2026,11
021. 5 Ideas de Side Projects para Pagar la Renta 💻☕,5/19/2026,18
020 - Cómo dejé de ser un Albañil del Código,5/12/2026,6
Copilot vs Gemini: ¿Cuál es la mejor AI para programar?,5/4/2026,7
Yo tenía la ilusión de vivir de YouTube,4/28/2026,7
Cómo usar Claude + Flutter para ser Freelancer en 2026,4/20/2026,20
"La Mentira del ""Works on My Phone"" y el Mito de la Sesión Única",2/16/2026,40
Flutter vs React Native: La Realidad del Mercado y Rendimiento en 2026,2/9/2026,26
Confesiones de un Programador: Cuando el éxito se siente vacío,1/14/2026,23
013. Me Canse de tomar cursos de programación,1/7/2026,16
012. Nunca dejes de construir: Lecciones de un año de cambios radicales,12/11/2025,23
Gemini 3.0: ¿Herramienta o Reemplazo?,12/1/2025,15
010. La carrera de la rata del programador moderno,11/17/2025,30
Node vs Python: la verdad que nadie te dice sobre IA,11/3/2025,24
Cómo cambió la industria tech en 2025,10/27/2025,20
007. OpenAI acaba de cambiar lo que significa ser programador,10/15/2025,16
Cómo uso IA para automatizar mi trabajo como developer,10/7/2025,20
005. Errores al aprender Flutter en 2026,10/7/2025,15
004 - Cómo entrar al mercado laboral con Flutter sin experiencia,9/15/2025,21
"003 - Cómo monetizar tus apps Flutter en 2025 (Ads, IAP, Suscripciones)",9/8/2025,35
002 - Flutter 4.0: ¿El futuro del desarrollo multiplataforma?,9/1/2025,32
001 - Necesitas construir,8/21/2025,32
